,character,info
0,Hannah Abbott , Hufflepuff student in Harry Potter's year. Prefect and member of Dumbledore's Army. Married to Neville Longbottom.
1,Ludo Bagman , Head of the Department of Magical Games and Sports within the Ministry of Magic.
2,Bathilda Bagshot ," Author of A History of Magic, and the great aunt of Gellert Grindelwald."
3,Katie Bell , Gryffindor Quidditch Chaser one year above Harry Potter. Member of Dumbledore's Army.
4,Cuthbert Binns ," ghost, History of Magic professor."
5,Phineas Nigellus Black , Great-great-grandfather of Sirius Black and former Hogwarts headmaster. His painting hangs in the office and assists the current headmaster.
6,Sirius Black , Harry's godfather who was a close friend of Harry's father James. Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.
7,Amelia Bones ," Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones. Killed by Lord Voldemort."
8,Susan Bones , Hufflepuff student in Harry's year. Member of Dumbledore's Army.
9,Terry Boot , Ravenclaw student in Harry's year. Member of Dumbledore's Army.
10,Lavender Brown , Gryffindor student in Harry's year and member of Dumbledore's Army. Killed in the Battle of Hogwarts.
11,Millicent Bulstrode , Slytherin student in Harry's year. Member of Dolores Umbridge's Inquisitorial Squad.
12,Charity Burbage , Professor of Muggle Studies at Hogwarts. Killed by Lord Voldemort.
13,Frank Bryce , Muggle gardener for the Riddle family. Killed by Lord Voldemort.
14,Alecto Carrow ," Death Eater and sister of Amycus Carrow. Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape."
15,Amycus Carrow ," Death Eater and brother of Alecto Carrow. Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape."
16,Reginald Cattermole , Employee of the Magical Maintenance Department for the Ministry of Magic. Impersonated by Ron Weasley.
17,Cho Chang ," Ravenclaw Quidditch Seeker one year above Harry, and his first love interest. Member of Dumbledore's Army."
18,Penelope Clearwater , Ravenclaw prefect and girlfriend of Percy Weasley.
19,Crabbe , Death Eater and father of Vincent Crabbe.
20,Vincent Crabbe , Slytherin student in Harry's year and the son of a Death Eater. Slytherin Quidditch Beater and member of the Inquisitorial Squad. Killed by his own Fiendfyre spell.
21,Colin Creevey ," Muggle-born Gryffindor student one year below Harry. Older brother of Dennis Creevey, and member of Dumbledore's Army. Killed during the Battle of Hogwarts."
22,Dennis Creevey ," Muggle-born Gryffindor student three years below Harry. Younger brother of Colin Creevey, and member of Dumbledore's Army."
23,Dirk Cresswell ," Muggle-born Head of the Goblin Liaison Office, went on the run with fellow Muggle-borns Ted Tonks, Dean Thomas and goblins Gornuk and Griphook, during which he is killed."
24,Barty Crouch Sr , Head of the Department of International Magical Cooperation. Killed by his son Barty Crouch Jr.
25,Barty Crouch Jr ," Death Eater credited with facilitating the return of Lord Voldemort. Used Polyjuice Potion to impersonate Alastor Moody, and received a Dementor's Kiss."
26,John Dawlish , an Auror.
27,Fleur Delacour , Participant in the Triwizard Tournament as a representative of wizarding school Beauxbatons. Later married Bill Weasley.
28,Gabrielle Delacour , Fleur's younger sister. Rescued by Harry during the Triwizard Tournament.
29,Dedalus Diggle , Member of the Order of the Phoenix who took the Dursleys into hiding.
30,Amos Diggory , Cedric Diggory's father. Employee of the Department for the Regulation and Control of Magical Creatures.
31,Cedric Diggory ," Hufflepuff student and prefect two years above Harry. Quidditch Seeker and captain, and co-winner of the Triwizard Tournament. Killed by Peter Pettigrew on Lord Voldemort's command."
32,Elphias Doge , A school friend of Albus Dumbledore.
33,Antonin Dolohov ," Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin."
34,Aberforth Dumbledore , Brother of Albus and Ariana Dumbledore. Owner of the Hog's Head tavern.
35,Albus Dumbledore ," Transfiguration professor in Tom Riddle's time, and Hogwarts headmaster in Harry Potter's time. Founder of the Order of the Phoenix. Killed by Severus Snape on Dumbledore's request."
36,Ariana Dumbledore ," Sister of Albus and Aberforth Dumbledore, killed in a three-way duel between her brothers and Gellert Grindelwald."
37,Kendra Dumbledore ," Wife of Percival Dumbledore. Mother of Albus, Aberforth, and Ariana Dumbledore."
38,Percival Dumbledore ," Husband of Kendra Dumbledore, father of Albus, Aberforth, and Ariana Dumbledore."
39,Dudley Dursley ," Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter."
40,Marge Dursley , Muggle sister of Vernon Dursley.
41,Petunia Dursley ," Harry's aunt, and his mother Lily's sister.  Vernon's wife and Dudley's mother."
42,Vernon Dursley , Harry Potter's Muggle uncle. Petunia's husband and Dudley's father.
43,Marietta Edgecombe , Ravenclaw student one year above Harry. Member of Dumbledore's Army who later betrays the group to Dolores Umbridge.
44,Arabella Figg , Squib neighbour of the Dursleys. Member of the Order of the Phoenix.
45,Argus Filch , Squib caretaker of Hogwarts.
46,Justin Finch-Fletchley , Muggle-born Hufflepuff student in Harry's year. Member of Dumbledore's Army.
47,Seamus Finnigan , Gryffindor student in Harry's year. Member of Dumbledore's Army.
48,Nicolas Flamel , Creator and owner of the Philosopher's Stone.
49,Mundungus Fletcher , Common thief and shifty Order of the Phoenix member.
50,Filius Flitwick , Head of Ravenclaw House and Charms professor at Hogwarts.
51,Cornelius Fudge , Minister for Magic in the first five books. Sacked after persistently denying Lord Voldemort's return.
52,Marvolo Gaunt ," The pure-blood father of Merope and Morfin Gaunt, and grandfather of Tom Marvolo Riddle."
53,Merope Gaunt , Tom Riddle's mother who died in childbirth.
54,Morfin Gaunt ," Marvolo's son and Merope's brother. Framed by his nephew Tom Riddle for Muggle killings, and died in Azkaban."
55,Anthony Goldstein , Ravenclaw student in Harry's year. Member of Dumbledore's Army.
56,Goyle , Death Eater and father of Gregory Goyle.
57,Gregory Goyle , Slytherin student in Harry's year. Slytherin Quidditch Beater and member of the Inquisitorial Squad.
58,Hermione Granger , Muggle-born Gryffindor student in Harry's year and one of his best friends. Prefect and co-founder of Dumbledore's Army.
59,Astoria Greengrass , Draco Malfoy's wife. She died in 2019 due to her blood curse.
60,Gregorovitch , highly regarded Eastern European wandmaker.
61,Fenrir Greyback , Werewolf working for the Death Eaters.
62,Gellert Grindelwald , Dark wizard who was jailed after Albus Dumbledore defeated him in the 1940s.
63,Wilhelmina Grubbly-Plank , Substitute Care of Magical Creatures professor during Harry's fourth and fifth years.
64,Godric Gryffindor , One of the four founders of Hogwarts. He was a very powerful wizard.
65,Rubeus Hagrid ," Half-giant Hogwarts gamekeeper, and Care of Magical Creatures professor starting in Harry's third year. Member of the Order of the Phoenix. As a Hogwarts student, he was expelled in his third year."
66,Rolanda Hooch , Hogwarts flying instructor and Quidditch referee.
67,Mafalda Hopkirk , Witch who works in the Ministry of Magic. Impersonated by Hermione Granger.
68,Helga Hufflepuff-,Founder of Hufflepuff House. Co-founder of Hogwarts School of Witchcraft and Wizardry.
69,Angelina Johnson , Gryffindor student two years above Harry. Quidditch Chaser and later team captain.
70,Lee Jordan , Gryffindor student two years above Harry. Hogwarts Quidditch commentator and good friend of Fred and George Weasley.
71,Bertha Jorkins , Ministry of Magic employee that worked under the Department of Magical Games and Sports. Killed by Voldemort in order to create Nagini as the last horcrux.
72,Igor Karkaroff , Reformed Death Eater. Headmaster of wizarding school Durmstrang.
73,Viktor Krum , Bulgarian Quidditch Seeker and Durmstrang student who participated in the Triwizard Tournament.
74,Silvanus Kettleburn , Care of Magical Creatures teacher until Harry's third year.
75,Bellatrix Lestrange , Cousin of Sirius Black. Death Eater who tortured Neville Longbottom's parents Frank and Alice into insanity. Killed by Molly Weasley during the Battle of Hogwarts.
76,Gilderoy Lockhart , Fraudulent celebrity author and Defence Against the Dark Arts teacher. Lost his memory after a memory charm backfired and resided in St. Mungo's afterwards.
77,Alice and Frank Longbottom , Neville Longbottom's parents. Aurors and members of the original Order of the Phoenix. Tortured into insanity by Bellatrix Lestrange.
78,Augusta Longbottom ," Frank's mother and Neville's grandmother, who raises him after his parents are incapacitated."
79,Neville Longbottom , Gryffindor student in Harry's year. Member of Dumbledore's Army.
80,Luna Lovegood , Xenophilius Lovegood's daughter and Ravenclaw student one year below Harry. Member of Dumbledore's Army and wife of Newt Scamander's grandson Rolf.
81,Xenophilius Lovegood , Luna's father. Editor of tabloid magazine The Quibbler.
82,Remus Lupin ," Lycanthropic Gryffindor student before Harry's time who befriended Sirius Black and James Potter. Professor of Defence Against the Dark Arts in Harry's third year, and member of the Order of the Phoenix. He and his wife Nymphadora Tonks gave birth to a son, Teddy, before dying in the Battle of Hogwarts."
83,Walden Macnair , Death Eater and Committee of Disposal of Dangerous Creatures' executioner. Injured badly by Hagrid during the Battle of Hogwarts.
84,Draco Malfoy ," Slytherin student in Harry's year. Quidditch Seeker, prefect, and member of the Inquisitorial Squad."
85,Lucius Malfoy , Draco's father and an influential Death Eater. Governor of Hogwarts early in the series.
86,Narcissa Malfoy , Lucius' wife and Draco's mother. Sister of Bellatrix Lestrange and Andromeda Tonks.
87,Scorpius Malfoy , Son of Draco Malfoy and Astoria Greengrass. Sorted into Slytherin. Friends with Albus Potter.
88,Madam Malkin , Clothing shop owner in Diagon Alley.
89,Griselda Marchbanks ," Governor of the Wizarding Examinations Authority which ran the O.W.L, N.E.W.T., and W.O.M.B.A.T. exams. Wizengamot elder."
90,Olympe Maxime , Half-giantess. Headmistress of Beauxbatons.
91,Ernie Macmillan , Hufflepuff student in Harry's year. Prefect and member of Dumbledore's Army.
92,Minerva McGonagall ," Hogwarts Transfiguration professor, Head of Gryffindor House, Deputy Headmistress of Hogwarts, and member of the Order of the Phoenix. Assumes position of Hogwarts Headmaster for a time after Voldemort's death."
93,Eloise Midgen , Gryffindor student that accidentally removed her nose trying to get rid of her acne. Known for her bad case of acne.
94,Cormac McLaggen , Gryffindor student one year above Harry Potter. Quidditch Keeper and member of Horace Slughorn's Slug Club.
95,Graham Montague , Slytherin Quidditch Chaser who became trapped inside a Vanishing Cabinet for a day.
96,Alastor (Mad-Eye) Moody , Retired Auror and member of the Order of the Phoenix. Impersonated by Barty Crouch Jr. in his scheme to enter Harry into the Triwizard Tournament. Killed by Voldemort.
97,Theodore Nott ," Slytherin student in the same year as Harry Potter, and son of a Death Eater."
98,Nott Sr , Theodore Nott's father. Death Eater.
99,Bob Ogden , Leader of the Department of Magical Law Enforcement Squad in the 1920s. Turned the Gaunt family over to the Wizengamot for using magic in front of a Muggle. Died before Harry Potter's sixth year.
100,Garrick Ollivander ," Wandmaker and owner of the Ollivanders wand shop. Kidnapped by the Malfoy family for several months until freed by Harry, Ron, and Hermione."
101,Pansy Parkinson , Slytherin student in Harry's year. Prefect and member of the Inquisitorial Squad.
102,Padma Patil ," Ravenclaw student in Harry's year. Identical twin sister of Gryffindor student Parvati Patil, and a member of Dumbledore's Army."
103,Parvati Patil , Gryffindor student in Harry's year and Padma's identical twin sister. Member of Dumbledore's Army.
104,Peter Pettigrew ," Death Eater and former school friend of James Potter, Sirius Black and Remus Lupin. Betrays Harry's parents James and Lily Potter to Voldemort, resulting in their deaths. Pettigrew is first introduced in the series as Ron Weasley's pet rat Scabbers. He is strangled to death by his own metal prosthetic hand after his loyalty towards Voldemort wavers upon Harry confronting him about having previously spared Pettigrew's life."
105,"Antioch, Cadmus, and Ignotus Peverell "," Three brothers who were the original owners of the Elder Wand, the Resurrection Stone, and the Invisibility Cloak, respectively."
106,Irma Pince , Hogwarts librarian.
107,Sturgis Podmore , Member of the Order of the Phoenix.
108,Poppy Pomfrey , Hogwarts school nurse.
109,Harry Potter ," The main character of the series. Orphaned son of James and Lily Potter. Gryffindor student at Hogwarts, and co-founder and first leader of Dumbledore's Army. The husband of Ginny Weasley, father of James Sirius, Albus Severus and Lily Luna Potter."
110,James Potter , Harry Potter's father and member of the Order of the Phoenix. Killed along with his wife Lily by Lord Voldemort prior to the start of the series.
111,Lily Potter , Harry Potter's mother and member of the Order of the Phoenix. Killed by Lord Voldemort.
112,Albus Severus Potter , Second child of Harry Potter and Ginny Weasley.
113,James Sirius Potter , Harry and Ginny's first child.
114,Lily Luna Potter , Harry and Ginny's third child.
115,Quirinus Quirrell , Defence Against the Dark Arts professor in Harry Potter's first year. Possessed by Lord Voldemort.
116,Helena Ravenclaw/The Grey Lady ," Daughter of house founder Rowena Ravenclaw. Stole and hid her mother's diadem, and became Ravenclaw's house ghost after being killed by the Bloody Baron."
117,Rowena Ravenclaw ," One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Ravenclaw house."
118,Delphi Riddle , The main antagonist of Harry Potter and the Cursed Child and daughter of Voldemort and Bellatrix Lestrange who tries to bring Voldemort back to life by completing a prophecy. Currently imprisoned in Azkaban.
119,Mary Riddle ," Thomas Riddle Sr.'s Muggle wife, and Thomas Riddle Jr.'s mother. Killed by her grandson, Lord Voldemort."
120,Thomas Riddle Sr. , Mary's Muggle husband and Thomas Riddle Jr.'s father. Killed by Voldemort.
121,Thomas Riddle Jr. ," Voldemort's Muggle father and Merope Gaunt's husband. Killed by his son, Lord Voldemort."
122,Thomas Marvolo Riddle , Slytherin student who became Lord Voldemort.
123,Demelza Robins , Gryffindor student and Quidditch Chaser.
124,Augustus Rookwood , Death Eater and spy working in the Department of Mysteries.
125,Thorfinn Rowle , Death Eater.
126,Albert Runcorn , Ministry of Magic employee whose chief function was as an investigator of alleged Muggle-borns.
127,Newt Scamander , Magizoologist and author of Fantastic Beasts and Where to Find Them. Main character in the Fantastic Beasts film series. Expelled Hogwarts student who excels in curing different sicknesses.
128,Rufus Scrimgeour , Head of the Auror Office who replaces Cornelius Fudge as Minister for Magic. Killed by Death Eaters.
129,Kingsley Shacklebolt , Auror and member of the Order of the Phoenix. Replaces Pius Thicknesse as Minister for Magic.
130,Stan Shunpike , Conductor of the triple-decker Knight Bus. Jailed in Azkaban on suspicions of being a Death Eater.
131,Aurora Sinistra , Astronomy professor at Hogwarts.
132,Rita Skeeter , Reporter and tabloid journalist for the Daily Prophet.
133,Horace Slughorn ," Former Hogwarts Potions professor and Head of Slytherin House, whose charges included Tom Riddle. Returned to Hogwarts to teach Potions in Harry's sixth year."
134,Salazar Slytherin ," One of the four founders of Hogwarts School of Witchcraft and Wizardry, and founder of the Slytherin house."
135,Zacharias Smith , Hufflepuff Quidditch Chaser in Harry's year. Member of Dumbledore's Army.
136,Severus Snape ," Potions and later Defence Against the Dark Arts professor at Hogwarts. Head of Slytherin House, and member of both the Death Eaters and the Order of the Phoenix as a double agent spying for Dumbledore."
137,Alicia Spinnet , Gryffindor student two years above Harry. Quidditch Chaser and member of Dumbledore's Army.
138,Pomona Sprout , Hogwarts Herbology professor and Head of Hufflepuff House.
139,Pius Thicknesse , Minister for Magic while under the Imperius Curse. Replaced by Kingsley Shacklebolt.
140,Dean Thomas , Gryffindor student in Harry's year. Member of Dumbledore's Army.
141,Andromeda Tonks ," Sister of Bellatrix Lestrange and Narcissa Malfoy, and the mother of Nymphadora Tonks. Disowned by her family for marrying Muggle-born Ted Tonks."
142,Nymphadora Tonks ," Ted and Andromeda's daughter. Auror and member of the Order of the Phoenix. She marries Remus Lupin and becomes the mother of a son, Teddy, before she and Remus are killed in the Battle of Hogwarts."
143,Ted Tonks ," Andromeda's Muggle-born husband, and the father of Nymphadora Tonks. Killed by Snatchers."
144,Sybill Trelawney , Hogwarts Divination professor. Predicted the prophecy that prompted Lord Voldemort to go after the Potters.
145,Wilkie Twycross , Hogwarts Apparition instructor who works in the Department of Magical Transportation.
146,Dolores Umbridge ," Senior Undersecretary to the Minister for Magic, Hogwarts High Inquisitor and temporary Headmistress of Hogwarts. She becomes Defence Against the Dark Arts professor in Harry Potter's fifth year, and joins in the persecution of half-bloods and Muggle-borns under Voldemort. Sentenced to life imprisonment in Azkaban."
147,Emmeline Vance , Member of the Order of the Phoenix. Killed by Death Eaters.
148,Romilda Vane , Gryffindor student who unsuccessfully tries to romance Harry.
149,Septima Vector , Arithmancy professor at Hogwarts.
150,Lord Voldemort (Tom Marvolo Riddle) , The villain of the series. Murderer of Harry Potter's parents and many others in his quest for immortality and absolute power.
151,Myrtle Warren/Moaning Myrtle ," Muggle-born Ravenclaw student during Tom Riddle's time at Hogwarts. Killed by the Basilisk in a girls' bathroom, which she continued to haunt after her death."
152,Arthur Weasley ," Muggle-obsessed Ministry of Magic employee, and member of the Order of the Phoenix. Husband of Molly Weasley, father of Bill, Charlie, Percy, Fred, George, Ron, and Ginny Weasley."
153,Bill Weasley ," Oldest son of Arthur and Molly Weasley, and Gringotts employee. Marries Fleur Delacour."
154,Charlie Weasley , Second son of Arthur and Molly Weasley. Member of the Order of the Phoenix. Works with dragons in Romania.
155,Fred Weasley ," Son of Arthur and Molly Weasley and identical twin brother of George Weasley. Gryffindor Quidditch Beater and member of Dumbledore's Army, later co-owner of joke shop Weasleys' Wizard Wheezes. Killed in the Battle of Hogwarts."
156,George Weasley , Son of Arthur and Molly Weasley and identical twin brother of Fred Weasley. Gryffindor Quidditch Beater and member of Dumbledore's Army. Co-owner of Weasleys' Wizard Wheezes. Marries Angelina Johnson.
157,Ginny Weasley ," Only daughter and youngest child of Arthur and Molly Weasley. Gryffindor student one year below Harry, Quidditch Seeker and Chaser, and member of Dumbledore's Army. Married to Harry Potter."
158,Hugo Weasley ," Son of Ron Weasley and Hermione Granger, brother of Rose Weasley."
159,Molly Weasley ," Wife of Arthur Weasley and mother of Bill, Charlie, Percy, Fred, George, Ron, and Ginny. Member of the Order of the Phoenix."
160,Percy Weasley ," Third son of Arthur and Molly Weasley. Gryffindor prefect and Head Boy, then Ministry of Magic employee, during which he becomes estranged from his family before joining them in fighting the Death Eaters in the Battle of Hogwarts."
161,Ron Weasley ," Youngest son of Arthur and Molly Weasley who is best friends with Harry Potter and Hermione Granger. Gryffindor Quidditch Keeper, prefect, and co-founder of Dumbledore's Army."
162,Oliver Wood , Gryffindor Quidditch Keeper and captain four years above Harry.
163,Rose Weasley , Daughter of Ron Weasley and Hermione Granger. Sister of Hugo Weasley.
164,Corban Yaxley , Death Eater. Head of Magical Law Enforcement under Voldemort's regime.
165,Blaise Zabini , Slytherin student in Harry's year.
166,Aragog , Giant spider raised by Rubeus Hagrid and lived in the Forbidden Forest.
167,Bane ," Centaur, not very wizard-friendly."
168,Beedle the Bard , Author of several wizarding fairy tales including The Tale of the Three Brothers.
169,The Bloody Baron ," Slytherin House ghost. Suitor of Helena Ravenclaw before killing her in a fit of blind rage, then commits suicide in remorse."
170,Bogrod ," Head goblin at Gringotts Wizarding Bank. Put under the Imperius curse when Harry, Ron, and Hermione break into Gringotts."
171,Buckbeak ," Hippogriff belonging at various times to Hagrid, Sirius Black and Harry Potter."
172,Sir Cadogan , Armored and somewhat mad knight occupying a painting in Hogwarts.
173,Crookshanks , Intelligent cat belonging to Hermione Granger.
174,Dobby ," House-elf originally belonging to the Malfoy family until he is set free by Harry in Chamber of Secrets, killed by Bellatrix Lestrange in Harry Potter and the Deathly Hallows."
175,Errol , Owl belonging to the Weasley family.
176,Fang , Hagrid's pet boarhound.
177,The Fat Friar , Hufflepuff House ghost.
178,The Fat Lady , Witch in the painting concealing the entrance to the Gryffindor common room.
179,Fawkes , Phoenix belonging to Albus Dumbledore. Saved Harry Potter from the Basilisk inside the Chamber of Secrets.
180,Firenze , Centaur and substitute Divination professor at Hogwarts during Harry's fifth year.
181,Fluffy , Three-headed dog belonging to Hagrid and protector of the Philosopher's Stone.
182,Gornuk ," Gringotts goblin who goes on the run from Death Eaters in Deathly Hallows along with fellow goblin Griphook, plus Dean Thomas, Ted Tonks, and Dirk Cresswell."
183,Grawp , Giant and Hagrid's half-brother.
184,Griphook , Gringotts Bank goblin who helps Harry and his friends steal Helga Hufflepuff's cup from within the Lestrange vault.
185,Hedwig , Harry Potter's pet owl. Killed during the Battle of the Seven Potters.
186,Hokey , House-elf belonging to Hepzibah Smith.
187,Kreacher ," House-elf belonging to the Black family and later Harry Potter. Though at first preferring to serve the pureblood line (including Regulus Black, Narcissa Malfoy, Bellatrix Lestrange, and Draco Malfoy), he eventually prefers serving under Harry as he treats him better."
188,Magorian , A centaur.
189,Great Aunt Muriel , The Weasley children's great-aunt.
190,Nagini , Lord Voldemort's massive pet snake that does his bidding. She is one of Voldemort's Horcruxes who is ultimately slain by Neville Longbottom during the Battle of Hogwarts.
191,Nearly Headless Nick , Gryffindor house ghost. Full name is Sir Nicholas de Mimsy-Porpington.
192,Norbert , A baby dragon illegally owned by Hagrid who is relocated to a reserve in Romania by friends of Ron's older brother Charlie Weasley.
193,Peeves ," Hogwarts poltergeist, a mischievous magical being."
194,Pigwidgeon ," A tiny mischievous owl belonging to Ron Weasley. Called ""Pig"" for short."
195,Madam Rosmerta , Proprietor of The Three Broomsticks inn in Hogsmeade village.
196,Ronan , A centaur living in the Forbidden Forest.
197,Scabbers , Ron Weasley's pet rat in the first three stories who is revealed to be a wizard in animal form: Peter Pettigrew.
198,Scabior ," Snatcher who captures Harry, Ron and Hermione in Deathly Hallows."
199,Travers , Wizard and Death Eater who escapes from Azkaban after Lord Voldemort's return.
200,Trevor , Neville Longbottom's perpetually-misplaced pet toad.
201,Winky ," A female house-elf who belonged to Barty Crouch Sr until he sacked her, then worked in the Hogwarts kitchen."
